REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,IN,LA1_i,1,L_AGR_VFOOi,2042,1173.8063
Globe,IN,LA1_i,1,L_AGR_VFOOi,2043,1232.4967
Globe,IN,LA1_i,1,L_AGR_VFOOi,2044,1294.1215
Globe,IN,LA1_i,1,L_AGR_VFOOi,2045,1358.8276
Globe,IN,LA1_i,1,L_AGR_VFOOi,2046,1426.7689
Globe,IN,LA1_i,1,L_AGR_VFOOi,2047,1498.1074
Globe,IN,LA1_i,1,L_AGR_VFOOi,2048,1573.0128
Globe,IN,LA1_i,1,L_AGR_VFOOi,2049,1651.6634
Globe,IN,LA1_i,1,L_AGR_VFOOi,2050,1734.2466
Globe,IN,LA1_i,1,L_AGR_VFOOi,2051,1820.9589
Globe,IN,LA1_i,1,L_AGR_VFOOi,2052,1912.0068
Globe,IN,LA1_i,1,L_AGR_VFOOi,2053,2007.6072
Globe,IN,LA1_i,1,L_AGR_VFOOi,2054,2107.9875
Globe,IN,LA1_i,1,L_AGR_VFOOi,2055,2213.3869
Globe,IN,LA1_i,1,L_AGR_VFOOi,2056,2221.627
Globe,IN,LA1_i,1,L_AGR_VFOOi,2057,2226.8473
Globe,IN,LA1_i,1,L_AGR_VFOOi,2058,2232.0394
Globe,IN,LA1_i,1,L_AGR_VFOOi,2059,2237.1826
Globe,IN,LA1_i,1,L_AGR_VFOOi,2060,2242.3257
Globe,IN,LA1_i,1,L_AGR_VFOOi,2061,2244.0332
Globe,IN,LA1_i,1,L_AGR_VFOOi,2062,2245.7125
Globe,IN,LA1_i,1,L_AGR_VFOOi,2063,2247.4689
Globe,IN,LA1_i,1,L_AGR_VFOOi,2064,2249.2253
Globe,IN,LA1_i,1,L_AGR_VFOOi,2065,3552.7705
Globe,IN,LA1_i,1,L_AGR_VFOOi,2066,3555.4144
Globe,IN,LA1_i,1,L_AGR_VFOOi,2067,3569.9518
Globe,IN,LA1_i,1,L_AGR_VFOOi,2068,3779.4654
Globe,IN,LA1_i,1,L_AGR_VFOOi,2069,3820.6736
Globe,IN,LA1_i,1,L_AGR_VFOOi,2070,3866.5357
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2010,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2011,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2012,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2013,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2014,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2015,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2016,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2017,22.687554197
Globe,IN,LA1_i_PROD,1,VFOO_P_LA1,2018,22.687554197
